Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer â€“ 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court â€“ 1","If yes, which High Court â€“ 2","If yes, which High Court â€“ 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
V. Kameshwar Rao,Male,1965-08-07T00:00:00Z,NA,NA,2013-04-17T00:00:00Z,2027-08-06T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,Yes,NA,Delhi University,Arts (Geography),Delhi University,1990,1991,Delhi,No,No,No,Delhi
Anup Jairam Bhambani,Male,1965-12-05T00:00:00Z,NA,NA,2018-10-22T00:00:00Z,2027-12-04T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,"Springdales School, New Delhi",NA,NA,Delhi University,1992,1992,Delhi,No,Yes,No,Delhi
Ashutosh Kumar,Male,1966-10-01T00:00:00Z,NA,NA,2014-05-15T00:00:00Z,2028-09-30T00:00:00Z,No,No,Patna,Yes,Delhi,2015-01-07T00:00:00Z,Patna,2017-11-21T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"St. Michaels' High School, Patna","St. Stephens' College, Delhi University",NA,Delhi University,NA,1991,NA,No,No,No,Delhi
Vibhu Bakhru,Male,1966-11-02T00:00:00Z,Maharashtra,Nagpur,2013-04-17T00:00:00Z,2028-11-01T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,Commerce,NA,1990,1990,Delhi,No,No,No,Delhi
Subramonium Prasad,Male,1967-06-22T00:00:00Z,NA,NA,2018-06-04T00:00:00Z,2029-06-21T00:00:00Z,No,No,Madras,Yes,Delhi,2020-03-13T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,Delhi University,Commerce,Delhi University,1990,NA,NA,No,No,No,Delhi
Jasmeet Singh,Male,1968-02-26T00:00:00Z,Delhi,Delhi,2021-02-24T00:00:00Z,2030-02-25T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"St. Xavier's School, New Delhi","Hindu College, University of Delhi",Commerce,University of Delhi,1992,1992,Delhi,No,No,No,Delhi
C. Hari Shankar,Male,1968-05-04T00:00:00Z,Delhi,Delhi,2017-05-15T00:00:00Z,2030-05-03T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,St. Columba's School,"Kirori Mal College, Delhi University",Science (Chemistry),Delhi University,1993,NA,NA,No,No,No,Delhi
Pratibha M. Singh,Female,1968-07-20T00:00:00Z,NA,NA,2017-05-15T00:00:00Z,2030-07-19T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,Integrated Law,"University Law College, Bangalore",NA,1991,Karnataka,Yes,No,Yes,Delhi
Amit Bansal,Male,1969-02-08T00:00:00Z,Delhi,Delhi,2021-02-24T00:00:00Z,2031-02-07T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"Modern School, Vasant Vihar, New Delhi","Shri Ram College of Commerce, University of Delhi",Commerce,University of Delhi,1993,1993,Delhi,Yes,No,Yes,Delhi
Navin Chawla,Male,1969-08-07T00:00:00Z,Delhi,Delhi,2017-05-15T00:00:00Z,2031-08-06T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"Delhi Public School, Mathura Road",Delhi University,Commerce,Delhi University,1993,1993,Delhi,No,No,No,Delhi
Manoj Kumar Ohri,Male,1969-11-12T00:00:00Z,Delhi,New Delhi,2018-11-20T00:00:00Z,2031-11-11T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,University of Delhi,Science (Physics),Delhi University,1995,1995,Delhi,Yes,Yes,No,Delhi
Prateek Jalan,Male,1970-04-04T00:00:00Z,West Bengal,Calcutta,2018-10-22T00:00:00Z,2032-04-03T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,"Modern School, New Delhi","Hindu College, University of Delhi",NA,"Trinity College, University of Cambridge",NA,1992,NA,Yes,No,Yes,Delhi
Sanjeev Narula,Male,1970-08-24T00:00:00Z,NA,NA,2018-10-22T00:00:00Z,2032-08-23T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,St. Mary's Presentation Convent School,"Kirorimal College, Univeristy of Delhi",Science (Computer Science),"Faculty of Jammu, Unviersity of Jammu",1994,1995,Delhi,No,No,No,Delhi
Jyoti Singh,Female,1996-10-01T00:00:00Z,NA,NA,2018-10-22T00:00:00Z,2058-09-30T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,No,NA,"Kirori Mal College, Delhi University",Botany,Delhi University,NA,NA,Delhi,No,No,No,Delhi
Abdul Mateen,Male,1951-12-14T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2013-12-13T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUATED IN THE ARTS YEAR 1973 FROM LUCKNOW UNIVERSITY AND PASSED L.LB IN THE YEAR 1976 FROM LUCKNOW UNIVERSITY,Lucknow Unversity,Arts,LUCKNOW UNIVERSITY,1976,1976,Uttar Pradesh,No,No,No,Allahabad
Ibotombi Singh,Male,1930-02-01T00:00:00Z,NA,NA,1988-12-05T00:00:00Z,1992-01-01T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Gauhati
R. K. Manisan Singha,Male,1932-02-02T00:00:00Z,NA,NA,1984-11-21T00:00:00Z,1994-02-01T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,1989,1958,NA,No,No,No,Gauhati
S. P. Rajkhowa,Male,1932-04-01T00:00:00Z,Assam,Mangaldoi,1988-04-11T00:00:00Z,1994-04-01T00:00:00Z,No,No,Gauhati,No,Calcutta,1988-11-01T00:00:00Z,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,Govt. Boys H.S. School,"St. AnthonyÃ¢â‚¬â„¢s college, Shillong",Arts,Guwahati University,1974,NA,NA,No,Yes,No,Gauhati
Jangsan Sangma,Male,1933-03-01T00:00:00Z,NA,NA,1986-07-23T00:00:00Z,1995-03-01T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1969,NA,No,No,No,Gauhati
Swadesh Kumar Chaudhuri,Male,1934-03-01T00:00:00Z,NA,NA,1988-12-05T00:00:00Z,1996-03-01T00:00:00Z,No,No,Gauhati,Yes,Patna,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1970,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,Gauhati
Viney Khanna,Male,1935-02-15T00:00:00Z,NA,NA,1979-07-02T00:00:00Z,1997-02-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Gauhati,-,-,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Government High School, Bijnor","BNSD College, Kanpur",NA,"Allahabad University, Allahabad",NA,1960,NA,No,No,No,Gauhati
Dhirendra Nath Baruah,Male,1935-03-01T00:00:00Z,NA,NA,1991-11-14T00:00:00Z,1997-03-01T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1962,NA,No,No,No,Gauhati
Pabitra Kumar Ghosh,Female,1936-01-01T00:00:00Z,NA,NA,1994-11-17T00:00:00Z,1998-01-01T00:00:00Z,No,No,Calcutta,Yes,Gauhati,1994-12-19T00:00:00Z,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Gauhati
M. Ramakrishna,Male,1936-04-13T00:00:00Z,NA,NA,1983-01-10T00:00:00Z,1998-04-12T00:00:00Z,No,No,Karnataka,No,NA,NA,NA,NA,NA,NA,Yes,J&K and Ladakh,Gauhati,-,No,NA,Bar,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1968,NA,No,No,No,Gauhati
Nani Gopal Das,Male,1936-04-20T00:00:00Z,NA,NA,1991-11-14T00:00:00Z,1998-04-19T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1963,NA,No,No,No,Gauhati
Sailendu Phukan,Male,1937-04-01T00:00:00Z,NA,NA,1985-10-11T00:00:00Z,2002-03-31T00:00:00Z,No,No,Gauhati,Yes,HimachalPradesh,1994-09-30T00:00:00Z,NA,NA,NA,NA,Yes,Himachal Pradesh,Orissa,-,Yes,1999-01-28T00:00:00Z,Bar,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,1986,1962,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,Gauhati
Meera Sarma,Female,1937-11-04T00:00:00Z,NA,NA,1989-05-24T00:00:00Z,1999-11-03T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1961,NA,No,No,No,Gauhati
Akhilesh Pratap Singh,Male,1938-06-01T00:00:00Z,NA,NA,1991-11-30T00:00:00Z,2000-05-31T00:00:00Z,No,No,Allahabad,Yes,Gauhati,1997-03-03T00:00:00Z,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1966,NA,No,No,No,Gauhati
Dhiresh Chowdhury,Male,1938-11-01T00:00:00Z,NA,NA,1996-01-29T00:00:00Z,2000-10-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1966,NA,No,No,No,Gauhati
Bishwendra Singh,Male,1939-02-10T00:00:00Z,NA,NA,1994-03-16T00:00:00Z,2001-02-09T00:00:00Z,No,No,Patna,Yes,Gauhati,1994-04-25T00:00:00Z,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Gauhati
Brijesh Kumar,Male,1939-06-10T00:00:00Z,Uttar Pradesh,Lucknow,1984-05-24T00:00:00Z,2004-06-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Gauhati,-,-,Yes,2000-10-19T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1960,Uttar  Pradesh,No,No,No,Gauhati
Ravinder Mongia,Male,1940-06-10T00:00:00Z,NA,NA,1990-06-15T00:00:00Z,2002-06-10T00:00:00Z,No,No,PunjabandHaryana,Yes,Gauhati,2001-06-21T00:00:00Z,NA,NA,NA,NA,Yes,Gauhati,-,-,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,"Panjab University, Chandigarh",1974,1964,Punjab and Haryana,No,No,No,Gauhati
Jitendra Nath Sarma,Male,1940-11-01T00:00:00Z,NA,NA,1993-05-07T00:00:00Z,2002-11-30T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1963,NA,No,No,No,Gauhati
Prabhat Phukan,Male,1940-12-01T00:00:00Z,NA,NA,1997-06-26T00:00:00Z,2002-11-30T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1964,NA,No,No,No,Gauhati
W. A. Shishak,Male,1941-01-01T00:00:00Z,Manipur,Shangshak Village in Ukhrul district,1989-01-02T00:00:00Z,2003-01-01T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,Yes,Chattisgarh,Himachal Pradesh,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Gauhati University,NA,Delhi University,NA,1967,NA,No,No,No,Gauhati
Pradip Kumar Sarkar,Male,1941-07-16T00:00:00Z,NA,NA,1996-02-26T00:00:00Z,2003-07-15T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1966,NA,No,No,No,Gauhati
Haobam Kumar Singh,Male,1941-09-01T00:00:00Z,NA,NA,1997-06-26T00:00:00Z,2003-08-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1966,NA,No,No,No,Gauhati
Pranab Kumar Deb,Male,1941-10-01T00:00:00Z,NA,NA,1994-01-10T00:00:00Z,2003-10-01T00:00:00Z,No,No,Gauhati,Yes,Patna,1994-02-14T00:00:00Z,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Mathematics,Calcutta University,1987,1967,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,Gauhati
Sunil Kumar Kar,Male,1942-08-01T00:00:00Z,NA,NA,2002-03-04T00:00:00Z,2004-07-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Gauhati
Beryl Lamare,Male,1943-12-23T00:00:00Z,NA,NA,2000-11-15T00:00:00Z,2005-12-22T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1975,NA,No,No,No,Gauhati
Sujit Barman Roy,Male,1945-01-28T00:00:00Z,NA,NA,1991-11-14T00:00:00Z,2007-01-21T00:00:00Z,No,No,Gauhati,Yes,Calcutta,1997-10-03T00:00:00Z,Orissa,2003-04-09T00:00:00Z,NA,NA,Yes,-,-,Orissa,No,NA,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,"Pathabhavan, School Section of Santiniketan, Visva Bharati University","Maharaja Bir Bikram College, Agartala",Arts,"University College of Law, Calcutta",1963,1975,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,Gauhati
Dinendra Biswas,Male,1945-09-01T00:00:00Z,NA,NA,1997-10-31T00:00:00Z,2007-08-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1968,NA,No,No,No,Gauhati
Biswendu Deb,Male,1946-01-03T00:00:00Z,NA,NA,2000-11-15T00:00:00Z,2003-04-13T00:00:00Z,Yes,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,Yes,Yes,Yes,No,Yes,Yes,No,No,No,NA,NA,NA,NA,NA,1972,NA,No,No,No,Gauhati
Alokbaran Pal,Male,1946-02-01T00:00:00Z,NA,NA,2004-11-01T00:00:00Z,2008-01-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1973,NA,No,No,No,Gauhati
Zelre Angami,Male,1946-05-01T00:00:00Z,NA,NA,2006-03-22T00:00:00Z,2008-04-30T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Gauhati University,Commerce,Dibrugarh University,1965,1972,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,Gauhati
B. Sudershan Reddy,Male,1946-07-08T00:00:00Z,Andhra Pradesh,"Akula Mylaram Village, erstwhile Ibrahimpatnam Taluq, presently Kandukur Revenue Mandal, Rangareddy District",1995-05-02T00:00:00Z,2011-07-07T00:00:00Z,No,No,AndhraPradesh,No,NA,NA,NA,NA,NA,NA,Yes,Gauhati,-,-,Yes,2007-01-12T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,NA,NA,"Osmania University, Hyderabad",NA,1971,Andhra Pradesh,No,No,No,Gauhati
Maibam Singh,Male,1948-09-01T00:00:00Z,Manipur,Imphal,2004-11-01T00:00:00Z,2010-09-01T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Gauhati University,B.Sc.,"Aligarh Muslim University, Aligarh",NA,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,Yes,Gauhati
Hirendra Nath Sarma,Male,1949-02-01T00:00:00Z,NA,NA,2004-11-01T00:00:00Z,2011-01-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,NA,Yes,No,Yes,Yes,No,NA,"M C College, Barpeta",Science,"J.B Law College, Guwahati",NA,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,Gauhati
Asok Potsangbam,Male,1949-04-21T00:00:00Z,Manipur,Imphal,2007-09-26T00:00:00Z,2013-05-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,NA,Calcutta University,Arts,Delhi University,1974,NA,NA,No,No,No,Gauhati
Hareswar Baruah,Male,1949-11-01T00:00:00Z,NA,NA,2007-07-04T00:00:00Z,2011-10-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,"Hawajan High School, Dist - Sonitpur","Darrang College, Tezpur",Science,"University Law College, Guwahati",1970,1974,Gauhati,No,No,No,Gauhati
Mutum Singh,Male,1950-01-27T00:00:00Z,NA,NA,2006-10-12T00:00:00Z,2012-01-27T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,1977,NA,No,No,No,Gauhati
Ketulhou Meruno,Male,1951-03-11T00:00:00Z,NA,NA,2006-10-12T00:00:00Z,2013-03-11T00:00:00Z,Yes,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1979,NA,No,No,No,Gauhati
Pranoy Kumar Musahary,Male,1951-05-31T00:00:00Z,Assam,"Alokjhar, Gossaigaon in Kokrajhar District",2007-09-26T00:00:00Z,2013-05-30T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Saint Anthony's College, Shillong",Arts,Gauhati University,NA,1977,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,Gauhati
Arun Chandra Upadhyay,Male,1951-07-27T00:00:00Z,NA,NA,2008-12-28T00:00:00Z,2013-07-26T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Science,University of Law College under the Gauhati University,NA,1976,NA,No,No,No,Gauhati
Anima Hazarika,Female,1952-01-01T00:00:00Z,NA,NA,2004-11-01T00:00:00Z,2013-12-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,1978,NA,No,No,No,Gauhati
Basu Agarwal,Male,1952-06-17T00:00:00Z,Assam,"Chaparmukh, District Nagaon",2006-10-12T00:00:00Z,2014-06-16T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,1971,NA,NA,No,No,No,Gauhati
Brojendra Katakey,Male,1952-06-28T00:00:00Z,NA,NA,2004-11-01T00:00:00Z,2014-06-27T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,No,NA,"Darrang College, Tezpur",Science,"University Law College, under Gauhati University",NA,1977,NA,No,No,No,Gauhati
Prasanta Kumar Saikia,Male,1954-01-26T00:00:00Z,NA,NA,2011-10-17T00:00:00Z,2016-01-25T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Nagaon College,Science,Nagaon Law College under Gauhati University,1976,1979,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,Gauhati
Biplab Kumar Sarma,Male,1954-02-01T00:00:00Z,Assam,Guwahati,2003-12-02T00:00:00Z,2016-01-31T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,Yes,No,NA,Gauhati University,Science,Gauhati University,NA,1977,NA,No,Yes,Yes,Gauhati
Chittaranjan Sarma,Male,1954-03-01T00:00:00Z,NA,NA,2008-12-28T00:00:00Z,2016-02-29T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Science,University of Law College under the Gauhati University,NA,1977,NA,No,No,No,Gauhati
Indira Shah,Female,1954-08-17T00:00:00Z,NA,NA,2012-03-02T00:00:00Z,2016-08-16T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,"University Law College, Dibrugarh",1985,1978,NA,No,Yes,No,Gauhati
Iqbal Ansari,Male,1954-10-29T00:00:00Z,Assam,Tezpur,2002-03-04T00:00:00Z,2016-10-28T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Darrang College, Tezpur",Science,Tezpur Law College,1982,NA,NA,No,No,No,Gauhati
Paran Kumar Phukan,Male,1955-10-29T00:00:00Z,Assam,Jorhat,2015-01-07T00:00:00Z,2017-10-28T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,".B. College, Jorhat",Science,NA,1966,1983,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,Gauhati
Ajai Lamba,Male,1958-09-21T00:00:00Z,Punjab,Abohar,2006-03-22T00:00:00Z,2020-09-20T00:00:00Z,No,No,PunjabandHaryana,Yes,Allahabad,2011-12-09T00:00:00Z,NA,NA,NA,NA,Yes,Gauhati,NA,-,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Government College, Sector 11, Chandigarh",English,"Punjab University, Chandigarh",NA,1981,NA,No,No,No,Gauhati
Manojit Bhuyan,Male,1959-02-05T00:00:00Z,Assam,Guwahati,2017-01-03T00:00:00Z,2021-02-04T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,No,"Don Bosco School, Guwahati","Cotton College, Guwahati",English,NA,NA,1987,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,Gauhati
Mir Ali,Male,1959-04-21T00:00:00Z,Assam,Ekrabari in the district of Udalguri,2017-05-19T00:00:00Z,2021-04-20T00:00:00Z,No,No,Gauhati,No,NA,NA,NA,NA,NA,NA,No,-,-,-,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,Kharupetia High School,Mangaldoi College,Economics,Gauhati University,NA,1985,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,Gauhati
Ajjikuttira Bopanna,Male,1959-05-20T00:00:00Z,NA,NA,2006-01-06T00:00:00Z,2024-05-19T00:00:00Z,No,No,Karnataka,No,NA,NA,NA,NA,NA,NA,Yes,Gauhati,-,-,Yes,2019-05-24T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1984,NA,No,No,No,Gauhati
