Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,
R. P. Dholaria,Male,1959-06-01T00:00:00Z,Gujarat,Piparia,2013-05-04T00:00:00Z,2021-05-31T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,"Swaminarayan Gurukul, Rajkot","Sardar Patel University, Vallabh VidyaNot Availablegar",Commerce,"Sardar Patel University, Vallabh VidyaNot Availablegar",Not Available,1984,Gujarat,No,No,Yes,Gujarat,
A. C. Rao,Male,1959-07-01T00:00:00Z,Not Available,Not Available,2018-10-22T00:00:00Z,2021-06-30T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Gujarat,
Vineet Kothari,Male,1959-09-02T00:00:00Z,Rajasthan,Jodhpur,2005-06-13T00:00:00Z,2021-11-01T00:00:00Z,No,No,Rajasthan,Yes,Karnataka,2016-04-18T00:00:00Z,Madras,2018-09-23T00:00:00Z,Gujarat,2021-01-04T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Commerce,Not Available,1981,1984,Rajasthan,No,No,Yes,Gujarat,
A. G. Uraizee,Male,1960-04-23T00:00:00Z,Gujarat,Ahmedabad,2013-05-04T00:00:00Z,2022-04-22T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,Not Available,Gujarat University,Not Available,"M.S. University, Vadodara",1983,1983,Gujarat,No,No,No,Gujarat,
B. N. Karia,Male,1960-05-26T00:00:00Z,Gujarat,Morbi,2016-04-06T00:00:00Z,2022-05-25T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Arts,"AMP Law College, Rajkot",1984,1984,Gujarat,No,No,No,Gujarat,
Bela Trivedi,Female,1960-06-10T00:00:00Z,Not Available,Not Available,2011-02-17T00:00:00Z,2022-06-09T00:00:00Z,No,No,Gujarat,Yes,Rajasthan,2011-06-27T00:00:00Z,Gujarat,2016-02-09T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Gujarat,
Paresh Upadhyay,Male,1960-12-14T00:00:00Z,Not Available,Not Available,2011-11-21T00:00:00Z,2022-12-13T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,1996,1996,Not Available,No,No,No,Gujarat,
A. P. Thaker,Male,1960-12-27T00:00:00Z,Gujarat,Junagadh,2018-10-22T00:00:00Z,2022-12-26T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Saurashtra University,Commerce,Saurashtra University,1984,Not Applicable,Not Applicable,No,No,Yes,Gujarat,
R. M. Chhaya,Male,1961-01-12T00:00:00Z,Gujarat,Veraval,2011-02-17T00:00:00Z,2023-01-11T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,"M.S. University, Vadodara",Commerce,"Sir L.A. Shah Law College, Ahmedabad",1984,1984,Gujarat,No,No,No,Gujarat,
Ashokkumar Joshi,Male,1961-01-24T00:00:00Z,Gujarat,Amreli,2020-03-03T00:00:00Z,2023-01-23T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Yes,Not Available,"Gujarat University, Ahmedabad",Science,"M. S. University, Baroda",1985,1986,Gujarat,No,No,Yes,Gujarat,
Sonia Gokani,Female,1961-02-26T00:00:00Z,Gujarat,Jamnagar,2011-02-17T00:00:00Z,2023-02-25T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Gujarat,No,No,Yes,Gujarat,
S. H. Vora,Male,1961-05-30T00:00:00Z,Gujarat,Bhuj-Kachchh,2012-11-12T00:00:00Z,2023-05-29T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Commerce,Not Available,Not Available,1987,Gujarat,No,No,No,Gujarat,
G. R.Udhwani,Male,1961-11-25T00:00:00Z,Gujarat,Ahmedabad,2012-11-12T00:00:00Z,2020-12-05T00:00:00Z,Yes,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Not Availablevgujarat Mahavidhyalaya, Ahmedabad",Not Available,"Sir L.A. Shah Law College, Ahmedabad",1986,1987,Gujarat,No,No,No,Gujarat,
Ashutosh Shastri,Male,1962-01-14T00:00:00Z,Not Available,Not Available,2016-04-06T00:00:00Z,2024-01-13T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,"H. A. College of Commerce, Ahmedabad.",Not Available,"Sir L.A. Shah Law College, Ahmedabad",Not Available,1985,Gujarat,No,No,No,Gujarat,
Rajendra Sareen,Male,1962-03-23T00:00:00Z,Gujarat,Valsad,2020-03-03T00:00:00Z,2024-03-22T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Yes,Not Available,"N.H.Shah Commerce College, Valsad",Commerce,"K.M. Shah Law College, Valsad",1986,1986,Gujarat,No,No,No,Gujarat,
A. J. Desai,Male,1962-07-05T00:00:00Z,Gujarat,Vadodara,2011-11-21T00:00:00Z,2024-07-04T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,"St. Xaviers' College, Ahmedabad",Economics,"Sir L.A. Shah Law College, Ahmedabad",1985,1985,Gujarat,No,No,No,Gujarat,
Biren Vaishnav,Male,1963-05-22T00:00:00Z,New Delhi,New Delhi,2016-04-06T00:00:00Z,2025-05-21T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,"St. Xavier's College, Ahmedabad",Economics,Sir L.A.Shah College,Not Available,1987,Gujarat,No,No,No,Gujarat,
Umesh Amritlal Trivedi,Male,1963-10-07T00:00:00Z,Gujarat,Vadodara,2018-10-22T00:00:00Z,2025-10-06T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"M.N.College, VisNot Availablegar",Not Available,Not Availablevgujarat Law College,1988,1988,Gujarat,No,No,No,Gujarat,
N. V. Anjaria,Male,1965-03-23T00:00:00Z,Gujarat,Ahmedabad,2011-11-21T00:00:00Z,2027-03-22T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,"H.L.College of Commerce, Ahmedabad",Commerce,"Sir L.A. Shah Law College, Ahmedabad",1988,1988,Gujarat,No,No,Yes,Gujarat,
JB Pardiwala,Male,1965-08-12T00:00:00Z,Maharashtra,Mumbai,2011-02-17T00:00:00Z,2027-08-11T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,"J.P. Arts College, Valsad",Not Available,"K.M.Law College, Valsad",1988,1988,Gujarat,No,No,No,Gujarat,
Ilesh Jashvantrai Vora,Male,1965-08-18T00:00:00Z,Gujarat,Jamnagar,2020-03-03T00:00:00Z,2027-08-17T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Yes,Not Available,Saurashtra University,Commerce,Saurashtra University,Not Available,Not Available,Gujarat,No,No,Yes,Gujarat,
Bhargav Karia,Male,1965-12-23T00:00:00Z,Not Available,Not Available,2019-03-05T00:00:00Z,2027-12-22T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,"H. L Commerce College , and L. J. Commerce College Ahmedabad",Commerce,"Gujarat University, Ahmedabad",1993,1993,Gujarat,No,No,No,Gujarat,
Gita Gopi,Female,1966-03-24T00:00:00Z,Gujarat,Navsari,2020-03-03T00:00:00Z,2028-03-23T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,Not Available,"Sir K.P. College of Commerce, Surat",Commerce,"Dinshaw Daboo Law College, Not Availablevsari.",Not Available,1993,Gujarat,No,No,Yes,Gujarat,
Vipul Pancholi,Male,1968-05-28T00:00:00Z,Gujarat,Ahmedabad,2014-10-01T00:00:00Z,2030-05-27T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"St. Xaviers' College, Ahmedabad",Science,"Sir L.A. Shah Law College, Ahmedabad",Not Available,1991,Gujarat,No,No,Yes,Gujarat,
Alpesh Kogje,Male,1969-07-16T00:00:00Z,Not Available,Not Available,2016-04-06T00:00:00Z,2031-07-15T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,BSc,Not Available,1993,1993,Gujarat,No,No,No,Gujarat,
A. S. Supehia,Male,1969-08-31T00:00:00Z,Not Available,Not Available,2016-04-06T00:00:00Z,2031-08-30T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1995,Gujarat,No,No,Yes,Gujarat,
Sangeeta K. Vishen,Female,1969-12-30T00:00:00Z,Gujarat,Mahudha,2019-03-05T00:00:00Z,2031-12-29T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,"Firdaus Amrut School, Ahmedabad","Gujarat University, Ahmedabad",Commerce,"Gujarat University, Ahmedabad",1994,1994,Gujarat,No,No,No,Gujarat,
Vaibhavi Nanavati,Female,1970-11-15T00:00:00Z,Gujarat,Surat,2020-10-04T00:00:00Z,2032-11-14T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Not Available,Not Available,Not Available,"St. Xaviers College, Ahmedabad",Arts,"Sir L.A. Shah Law College, Ahmedabad",1995,1995,Gujarat,No,No,No,Gujarat,
Nirzar S. Desai,Male,1973-06-15T00:00:00Z,Gujarat,Bhavnagar,2020-10-04T00:00:00Z,2035-06-14T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Sir L.A. Shah College,Not Available,1998,Gujarat,No,No,No,Gujarat,
Nikhil Kariel,Male,1974-05-09T00:00:00Z,Gujarat,Rajkot,2020-10-04T00:00:00Z,2036-05-08T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,"V.B. College of law, Udupi",Not Available,"V.B. College of law, Udupi",Not Available,1998,Gujarat,No,No,No,Gujarat,
A.L. Vaidya,Male,1936-10-03T00:00:00Z,Not Available,Not Available,1993-07-30T00:00:00Z,1998-10-02T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1960,Himachal Pradesh,No,No,No,HimachalPradesh,
Raj Kumar Mahajan,Male,1936-10-09T00:00:00Z,Not Available,Not Available,1995-09-12T00:00:00Z,1998-10-08T00:00:00Z,No,No,HimachalPradesh,Yes,Allahabad,1995-09-29T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1959,Not Available,No,No,No,HimachalPradesh,
Prem Krishnan Palli,Male,1936-10-26T00:00:00Z,Not Available,Not Available,1994-02-14T00:00:00Z,1998-10-25T00:00:00Z,No,No,PunjabandHaryana,Yes,Rajasthan,1994-03-01T00:00:00Z,HimachalPradesh,1996-04-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1961,Punjab HaryaNot Available Chandigarh,No,No,No,HimachalPradesh,
Surinder Sarup,Male,1938-04-21T00:00:00Z,Not Available,Not Available,1994-07-20T00:00:00Z,2000-04-20T00:00:00Z,No,No,PunjabandHaryana,Yes,Patna,1994-07-21T00:00:00Z,HimachalPradesh,1996-04-06T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Punjab HaryaNot Available Chandigarh,No,No,No,HimachalPradesh,
R.L. Khurana,Male,1942-11-03T00:00:00Z,Not Available,Not Available,1995-11-30T00:00:00Z,2004-11-02T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Not Available,Not Available,Not Available,Not Available,HimachalPradesh,
M.R. Verma,Male,1943-06-30T00:00:00Z,Not Available,Not Available,1999-05-17T00:00:00Z,2005-06-29T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Passed matriculation examination of Punjab University in 1959,Panjab University,Arts,Agra University,1966,1967,Not Available,No,No,No,HimachalPradesh,
A.K. Goel,Male,1943-10-15T00:00:00Z,Not Available,Not Available,1995-11-30T00:00:00Z,2005-10-14T00:00:00Z,No,No,HimachalPradesh,Yes,J&KandLadakh,1997-12-11T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Panjab University,Not Available,Not Available,Not Available,No,No,No,HimachalPradesh,
V.K. Jhanji,Male,1944-03-22T00:00:00Z,Not Available,Not Available,1991-03-15T00:00:00Z,2006-03-21T00:00:00Z,No,No,PunjabandHaryana,Yes,J&KandLadakh,2001-12-03T00:00:00Z,HimachalPradesh,2005-10-19T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1971,Panjab HaryaNot Available Chandigarh,No,No,No,HimachalPradesh,
Kuldeep Chand Sood,Male,1944-04-12T00:00:00Z,Not Available,Not Available,2000-02-08T00:00:00Z,2006-04-11T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Punjab University,Not Available,Not Available,Not Available,1968,PNot Availablejab HaryaNot Available Chandigarh,No,No,No,HimachalPradesh,
V.M. Jain,Male,1945-11-19T00:00:00Z,Not Available,Not Available,1999-02-08T00:00:00Z,2006-02-23T00:00:00Z,Yes,No,PunjabandHaryana,Yes,HimachalPradesh,2005-02-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Panjab HaryaNot Available Chandigarh,No,No,No,HimachalPradesh,
Surjit Singh,Male,1949-12-18T00:00:00Z,Haryana,"Shahzadpur, Ambala",2005-04-11T00:00:00Z,2011-12-16T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,MRSD High School,Panjab University,Not Available,Panjab University,1973,Not Applicable,Not Applicable,No,No,No,HimachalPradesh,
V.K. Ahuja,Male,1951-03-24T00:00:00Z,Not Available,Not Available,2006-10-04T00:00:00Z,2013-03-23T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,"SRCC, Delhi Univrsity",Commerce,Delhi University,1973,1973,Delhi,No,No,No,HimachalPradesh,
R.B. Misra,Male,1951-08-01T00:00:00Z,Not Available,Not Available,2001-04-24T00:00:00Z,2013-07-31T00:00:00Z,No,No,Allahabad,Yes,Gauhati,2005-01-05T00:00:00Z,HimachalPradesh,2008-04-29T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Yes,30-01-1981,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Science,Allahabad University,1974,1986,Uttar Pradesh,No,Yes,No,HimachalPradesh,
Surinder Singh,Male,1951-09-23T00:00:00Z,Himachal Pradesh,"Rajgarh, Sirmaur",2006-11-27T00:00:00Z,2013-09-22T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Panjab University,Not Available,Meerut University,1973,Not Available,Himachal Pradesh,No,No,No,HimachalPradesh,
Kuldip Singh,Male,1952-01-17T00:00:00Z,Not Available,Not Available,2007-04-03T00:00:00Z,2014-01-16T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Panjab University,Not Available,1975,Himachal Pradesh,No,No,No,HimachalPradesh,
Dev Darshan Sud,Male,1952-02-18T00:00:00Z,Himachal Pradesh,Kangra,2006-11-27T00:00:00Z,2014-02-17T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,St. Edwards Shimla,Panjab University,Commerce,Himachal Pradesh University,1977,Not Available,Not Available,No,No,Yes,HimachalPradesh,
V.K. Sharma,Male,1952-08-08T00:00:00Z,Not Available,Not Available,2010-01-07T00:00:00Z,2014-08-07T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,Not Available,Not Available,Not Available,Not Available,"GGDSD College, BaijNot Availableth",Not Available,Not Available,Not Available,1976,Himachal Pradesh,No,No,No,HimachalPradesh,
P.S. Rana,Male,1955-08-13T00:00:00Z,Not Available,Not Available,2014-05-05T00:00:00Z,2017-01-02T00:00:00Z,No,Yes,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Yes,No,HimachalPradesh,
Dharam Chand Chaudhary,Male,1958-03-12T00:00:00Z,Himachal Pradesh,Mandi,2012-01-21T00:00:00Z,2020-03-11T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not Available,"Govt. High School, Hatgarh","Govt degree college, Kullu",Not Available,Himachal Pradesh University,1983,1983,Himachal Pradesh,No,No,No,HimachalPradesh,
Rajeev Sharma,Male,1958-10-08T00:00:00Z,Himachal Pradesh,Not Available,2007-04-03T00:00:00Z,2020-10-07T00:00:00Z,No,No,HimachalPradesh,Yes,Uttarakhand,2016-09-26T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Himachal pradesh university,Not Available,1982,Himachal Pradesh,No,No,No,HimachalPradesh,
Lingappa Narayana Swamy,Male,1959-07-01T00:00:00Z,Karnataka,"Bhadravathi, Shivamogga",2007-07-04T00:00:00Z,2021-06-30T00:00:00Z,No,No,Karnataka,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Himachal Pradesh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,"Pre Univeristy at BBS College, Shivamogga",Not Available,Arts,Mysore University,Not Available,1987,KarNot Availabletaka,No,No,Yes,HimachalPradesh,
