Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Bhagwati Prasad,Male,1949-05-13T00:00:00Z,Rajasthan,Bahadra,1996-04-06T00:00:00Z,2011-05-12T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,2008-02-07T00:00:00Z,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,"Government College, Hisar, Haryana (Punjab University, Chandigarh)",Science,"Doongar College, Bikaner, Rajasthan (Rajasthan University, Jaipur)",1972,1972,Rajasthan,No,No,Yes,Gujarat
Bhargav Karia,Male,1965-12-23T00:00:00Z,NA,NA,2019-03-05T00:00:00Z,2027-12-22T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,"H. L Commerce College , and L. J. Commerce College Ahmedabad",Commerce,"Gujarat University, Ahmedabad",1993,1993,Gujarat,No,No,No,Gujarat
Bhaskar Bhattacharya,Male,1952-09-29T00:00:00Z,NA,NA,1997-07-17T00:00:00Z,2014-09-28T00:00:00Z,No,No,Calcutta,Yes,Gujarat,2011-09-08T00:00:00Z,NA,NA,NA,NA,Yes,Gujarat,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,Science,Jogesh Chandra Chaudhuri Law College,NA,1975,West Bengal,No,No,No,Gujarat
Bhawani Singh,Male,1944-03-28T00:00:00Z,NA,NA,1988-12-16T00:00:00Z,2006-03-28T00:00:00Z,No,No,Himachal Pradesh,Yes,Jammu & Kashmir,1996-03-22T00:00:00Z,NA,NA,NA,NA,Yes,Jammu & Kashmir,Madhya Pradesh,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,NA,"S.D. College, Lahore",NA,"Punjab University, Department of Laws, Chandigarh",NA,1968,Himachal Pradesh,No,No,No,Gujarat
Bhupinder Nath Kirpal,Male,1937-11-08T00:00:00Z,NA,NA,1979-11-20T00:00:00Z,2002-11-08T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Gujarat,NA,NA,Yes,1995-09-11T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,"The Modern School, New Delhi","St Stephens College, Delhi University",Arts,NA,NA,NA,Delhi,No,No,No,Gujarat
Biren Vaishnav,Male,1963-05-22T00:00:00Z,New Delhi,New Delhi,2016-04-06T00:00:00Z,2025-05-21T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"St. Xavier's College, Ahmedabad",Economics,Sir L.A.Shah College,NA,1987,Gujarat,No,No,No,Gujarat
C. L. Soni,Male,1957-03-17T00:00:00Z,Gujarat,Kalyanpura,2011-11-21T00:00:00Z,2019-03-16T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Gujarat University,Commerce,Gujarat University,1983,1984,Gujarat,No,No,No,Gujarat
Chaitanya Kastubprasad Buch,Male,1947-05-17T00:00:00Z,NA,NA,1997-12-11T00:00:00Z,2009-05-17T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1972,Gujarat,No,No,No,Gujarat
Chinuprasad Jani,Male,1933-01-04T00:00:00Z,NA,NA,1990-06-21T00:00:00Z,1995-01-04T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Gujarat,No,No,No,Gujarat
Chunilal Thakker,Male,1943-11-10T00:00:00Z,NA,NA,1990-07-21T00:00:00Z,2008-11-10T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Himachal Pradesh,Bombay,NA,Yes,2004-06-07T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Economics and Political Science,"M.P. Shah Law College, Jamnagar",1967,1968,Gujarat,No,No,Yes,Gujarat
Devdatta Dharmadhikari,Male,1940-08-14T00:00:00Z,Maharashtra,Nagpur,1989-03-24T00:00:00Z,2005-08-13T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Gujarat,NA,NA,Yes,2002-03-05T00:00:00Z,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Gujarat,No,No,Yes,Gujarat
Dawwodi Nasir,Male,1936-01-02T00:00:00Z,NA,NA,1995-01-23T00:00:00Z,1998-01-02T00:00:00Z,No,No,Gujarat,Yes,Andhra Pradesh,1995-03-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Gujarat,No,No,No,Gujarat
Daya Saran Sinha,Male,1941-03-18T00:00:00Z,NA,NA,1986-03-17T00:00:00Z,2003-03-18T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Gujarat,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,University of Allahabad,Arts,University of Allahabad,1959,1962,Uttar Pradesh,No,No,No,Gujarat
Deepak Kantilal Trivedi,Male,1943-03-04T00:00:00Z,Gujarat,Rajkot,1994-01-17T00:00:00Z,2005-03-03T00:00:00Z,No,No,Gujarat,Yes,Bombay,1994-02-04T00:00:00Z,Gujarat,2001-09-11T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,H. K. Arts College,NA,Sir L.A. Shah College,NA,1973,Gujarat,No,No,No,Gujarat
Dhiren Mehta,Male,1948-12-02T00:00:00Z,Gujarat,Bhavnagar,2000-09-18T00:00:00Z,2010-12-02T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"Bhavan's College, Bombay",Arts,"M. S. University, Vadodara",1974,1974,Gujarat,No,No,Yes,Gujarat
Dhiren Karia,Male,1945-11-28T00:00:00Z,NA,NA,1990-11-22T00:00:00Z,1997-11-28T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1964,Gujarat,No,No,No,Gujarat
Dhirendra Hiralal Waghela,Male,1954-08-11T00:00:00Z,Gujarat,Rajkot,1999-09-17T00:00:00Z,2016-08-11T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Karnataka,Odisha,Bombay,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"Shri Swaminarayan Gurukul, Rajkot",Commerce,"Shri A. M. P. Law College, Rajkot",1974,1975,Gujarat,No,No,Yes,Gujarat
Dhirubhai Naranbhai Patel,Male,1960-03-13T00:00:00Z,NA,NA,2004-03-07T00:00:00Z,2022-03-12T00:00:00Z,No,No,Gujarat,Yes,Jharkhand,2009-02-03T00:00:00Z,NA,NA,NA,NA,Yes,Jharkhand,Delhi,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,"M.G..Science College, Ahmedabad",Science,"Sir L.A. Shah Law College, Ahmedabad",1984,1984,Gujarat,No,Yes,Yes,Gujarat
Dinesh Chandra Srivastava,Male,1939-08-26T00:00:00Z,NA,NA,1995-03-15T00:00:00Z,2001-08-26T00:00:00Z,No,No,Allahabad,Yes,Gujarat,1997-12-26T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Gujarat
Dineshchandra Pravinrai Buch,Male,1942-08-22T00:00:00Z,NA,NA,1999-09-17T00:00:00Z,2004-08-22T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Bahauddin College, Junagadh",Science,"A.M.P. Law College, Rajkot",1965,1966,Gujarat,No,No,No,Gujarat
G. B. Shah,Male,1954-10-14T00:00:00Z,Gujarat,Vadodara,2011-02-17T00:00:00Z,2016-10-13T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Saurashtra University,NA,Sir L.A. Shah Law College,NA,1979,Gujarat,No,No,No,Gujarat
G. S. Singhvi,Male,1948-12-12T00:00:00Z,Rajasthan,Jodhpur,1990-07-21T00:00:00Z,2013-12-12T00:00:00Z,No,No,Rajasthan,Yes,Punjab & Haryana,1994-04-28T00:00:00Z,Gujarat,2005-02-28T00:00:00Z,NA,NA,Yes,Andhra Pradesh,NA,NA,Yes,2007-11-12T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,Jodhpur University,Science,Rajasthan University,1971,1971,Rajasthan,No,No,No,Gujarat
G. R.Udhwani,Male,1961-11-25T00:00:00Z,Gujarat,Ahmedabad,2012-11-12T00:00:00Z,2020-12-05T00:00:00Z,Yes,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Navgujarat Mahavidhyalaya, Ahmedabad",NA,"Sir L.A. Shah Law College, Ahmedabad",1986,1987,Gujarat,No,No,No,Gujarat
Gita Gopi,Female,1966-03-24T00:00:00Z,Gujarat,Navsari,2020-03-03T00:00:00Z,2028-03-23T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,Yes,NA,"Sir K.P. College of Commerce, Surat",Commerce,"Dinshaw Daboo Law College, Navsari.",NA,1993,Gujarat,No,No,Yes,Gujarat
Gurudas Kamat,Male,1935-01-05T00:00:00Z,NA,NA,1983-11-29T00:00:00Z,1997-01-05T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Gujarat,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Arts,NA,1960,1962,Maharashtra,No,No,No,Gujarat
Harivada Mehta,Male,1941-10-13T00:00:00Z,NA,NA,1999-12-27T00:00:00Z,2003-10-13T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Science,City Law College,1964,1965,Gujarat,No,No,No,Gujarat
Harivadan Shelat,Male,1939-03-02T00:00:00Z,NA,NA,1995-09-18T00:00:00Z,2001-03-02T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Gujarat,No,No,No,Gujarat
Harjivan Kantilal Rathod,Male,1949-09-15T00:00:00Z,Gujarat,Moti Dhari,1999-09-17T00:00:00Z,2012-09-15T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Gujarat University,Arts,NA,NA,1975,Gujarat,No,No,Yes,Gujarat
Harsha Devani,Female,1958-03-27T00:00:00Z,Gujarat,"Kunkavav, Amreli District",2004-10-08T00:00:00Z,2020-03-26T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"Prakash Higher Secondary School, Ahmedabad; Convent Little Flower School, Dibrugarh (Assam); and Loreto Convent from Ranchi (Bihar).","M.G. Science Institute, Ahmedabad",Microbiology,"Sir L.A. Shah Law College, Ahmedabad",NA,1992,Gujarat,No,Yes,No,Gujarat
Harshvadan B Antani,Male,1949-06-30T00:00:00Z,NA,NA,2005-06-14T00:00:00Z,2011-06-29T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,Gujarat University,Arts,Gujarat University,NA,NA,Gujarat,No,No,No,Gujarat
Hemant Laxman Gokhale,Male,1949-03-10T00:00:00Z,Gujarat,NA,1994-01-20T00:00:00Z,2011-03-10T00:00:00Z,No,No,Bombay,Yes,Gujarat,1994-02-04T00:00:00Z,Bombay,1999-02-24T00:00:00Z,NA,NA,Yes,Allahabad,Madras,NA,Yes,2010-04-30T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Bombay,Arts,"Government Law College, Bombay",NA,1973,Maharashtra,No,Yes,Yes,Gujarat
Ilesh Jashvantrai Vora,Male,1965-08-18T00:00:00Z,Gujarat,Jamnagar,2020-03-03T00:00:00Z,2027-08-17T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,NA,Saurashtra University,Commerce,Saurashtra University,NA,NA,Gujarat,No,No,Yes,Gujarat
JB Pardiwala,Male,1965-08-12T00:00:00Z,Maharashtra,Mumbai,2011-02-17T00:00:00Z,2027-08-11T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"J.P. Arts College, Valsad",NA,"K.M.Law College, Valsad",1988,1988,Gujarat,No,No,No,Gujarat
J. N. Bhatt,Male,1945-10-16T00:00:00Z,Gujarat,Jamnagar,1990-07-21T00:00:00Z,2007-10-16T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,NA,Commerce,NA,NA,1968,Gujarat,No,Yes,Yes,Gujarat
Jagdish Madhurlal Panchal,Male,1946-10-06T00:00:00Z,NA,NA,1990-11-22T00:00:00Z,2011-10-05T00:00:00Z,No,No,Gujarat,Yes,Rajasthan,2007-07-16T00:00:00Z,NA,NA,NA,NA,Yes,Rajasthan,NA,NA,Yes,2007-11-12T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"H. L. College of Commerce, Ahmedabad",Commerce,NA,1972,1972,Gujarat,No,No,No,Gujarat
Janakaroy Upadhyaya,Male,1950-11-26T00:00:00Z,Maharashtra,Bombay,2007-11-21T00:00:00Z,2012-11-25T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Saurashtra University,Economics,Saurashtra University,1974,1974,Gujarat,No,No,Yes,Gujarat
Jayant Maganlal Patel,Male,1956-08-04T00:00:00Z,Gujarat,Veraval,2001-12-03T00:00:00Z,2017-09-25T00:00:00Z,No,Yes,Gujarat,Yes,Karnataka,2016-02-13T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"M. S. University, Baroda",Commerce,"M. S. University, Baroda",NA,1979,Gujarat,No,No,No,Gujarat
Jaypraksh Ramakant Vora,Male,1948-01-09T00:00:00Z,NA,NA,1997-12-11T00:00:00Z,2010-01-09T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1973,Gujarat,No,No,No,Gujarat
Kaushal Thaker,Male,1961-09-04T00:00:00Z,Maharashtra,Bombay,2013-05-04T00:00:00Z,2023-09-03T00:00:00Z,No,No,Gujarat,Yes,Allahabad,2016-04-11T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,"St. Xavier's School, Ahmedabad","M.G. Science College, Ahmedabad",Chemistry,"Sir L.A. Shah Law College, Ahmedabad",NA,1987,Gujarat,No,No,Yes,Gujarat
K. M. Thaker,Male,1957-09-17T00:00:00Z,NA,NA,2007-11-21T00:00:00Z,2019-09-16T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Gujarat University,Commerce,Gujarat University,1981,1982,Gujarat,No,Yes,No,Gujarat
Kalpesh Jhaveri,Male,1958-01-05T00:00:00Z,NA,NA,2004-03-07T00:00:00Z,2020-01-04T00:00:00Z,No,No,Gujarat,Yes,Rajasthan,2016-08-24T00:00:00Z,NA,NA,NA,NA,Yes,Orissa,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Gujarat University,Science,Gujarat University.,1983,1983,Gujarat,No,No,No,Gujarat
Kalavamkodath Sivasankara Panicker Radhakrishnan,Male,1949-05-15T00:00:00Z,NA,NA,1995-05-17T00:00:00Z,2011-05-14T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,Yes,Jammu & Kashmir,Gujarat,NA,Yes,2009-09-17T00:00:00Z,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1973,Kerala,No,No,Yes,Gujarat
Kailashchandra Vaidya,Male,1935-07-29T00:00:00Z,NA,NA,1989-03-14T00:00:00Z,1997-03-03T00:00:00Z,No,Yes,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Gujarat,No,No,No,Gujarat
Kamal Mehta,Male,1945-09-28T00:00:00Z,NA,NA,1999-09-17T00:00:00Z,2007-09-29T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,NA,Science,"Sarvajanik Law College, Surat",NA,1968,Gujarat,No,No,Yes,Gujarat
Kantilal Ambalal Puj,Male,1949-05-02T00:00:00Z,NA,NA,2001-12-03T00:00:00Z,2011-05-01T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,NA,Arts,"Sir L. A. Shah Law College, Ahmedabad",NA,1976,Gujarat,No,Yes,No,Gujarat
Konakuppakattil Gopinathan Balakrishnan,Male,1945-05-12T00:00:00Z,Kerala,Thalayolaparambu,1985-09-26T00:00:00Z,2010-05-12T00:00:00Z,No,No,Kerala,Yes,Gujarat,1997-11-24T00:00:00Z,NA,NA,NA,NA,Yes,Gujarat,Madras,NA,Yes,2000-06-08T00:00:00Z,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Maharaja's College,Science,Maharaja's Law College,NA,1968,Kerala,No,No,Yes,Gujarat
Krishnavadan Shah,Male,1935-04-09T00:00:00Z,Gujarat,Bhadarwa,1990-06-21T00:00:00Z,1997-04-09T00:00:00Z,No,No,Gujarat,Yes,Allahabad,1994-07-04T00:00:00Z,Bombay,1997-04-09T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Umreth Jubilee Institution,"M.G. Science College, Ahmedabad",Chemistry,NA,1958,1960,Gujarat,No,No,No,Gujarat
Kshitij Rameshbhai Vyas,Male,1944-07-19T00:00:00Z,Gujarat,Bhalod,1990-11-22T00:00:00Z,2006-10-02T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Bombay,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,"M. S. University, Baroda",1968,1968,Gujarat,No,No,No,Gujarat
Kumaran Sreedharan,Male,1936-06-04T00:00:00Z,NA,NA,1985-09-10T00:00:00Z,1998-06-04T00:00:00Z,No,No,Kerala,Yes,Gujarat,1997-10-20T00:00:00Z,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1959,Kerala,No,No,No,Gujarat
Kundan Singh,Male,1941-12-15T00:00:00Z,NA,NA,1991-11-27T00:00:00Z,2003-12-15T00:00:00Z,No,No,Allahabad,Yes,Gujarat,1997-12-15T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1964,Uttar Pradesh,No,No,No,Gujarat
Magraj Khalla,Male,1941-03-12T00:00:00Z,NA,NA,1990-07-20T00:00:00Z,2003-03-12T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,1994-04-27T00:00:00Z,Rajasthan,2001-09-10T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Rajasthan,No,No,No,Gujarat
Mahendra Sankalchand Parikh,Male,1939-01-10T00:00:00Z,NA,NA,1990-11-22T00:00:00Z,2000-09-29T00:00:00Z,No,Yes,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Gujarat,No,No,No,Gujarat
Manharlal Shah,Male,1938-09-25T00:00:00Z,Gujarat,Dehgam in Ahmedabad District,1983-01-28T00:00:00Z,2003-09-24T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Bombay,NA,NA,Yes,1998-12-09T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"L.D. Arts College, Ahmedabad",Economics,"Sir L.A. Shah Law College, Ahmedabad",1962,1963,Gujarat,No,Yes,No,Gujarat
Manharlal Chimanlal Patel,Male,1944-08-20T00:00:00Z,NA,NA,1997-12-11T00:00:00Z,2006-08-20T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,1971,Gujarat,No,No,No,Gujarat
Mohinder Pal,Male,1956-12-30T00:00:00Z,Punjab,Hoshiarpur,2007-10-08T00:00:00Z,2018-12-29T00:00:00Z,No,No,Punjab and Haryana,Yes,Gujarat,2011-12-30T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Govt. College Hoshiarpur,Arts,"Punjab University,Chandigarh",1981,1982,Punjab and Haryana,No,No,No,Gujarat
Mohit Shah,Male,1953-09-09T00:00:00Z,Gujarat,Vijapur,1995-09-18T00:00:00Z,2015-09-09T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Calcutta,Bombay,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Maharaja Sayajirao University,Arts,NA,1976,1976,Gujarat,No,No,Yes,Gujarat
Mukesh Shah,Male,1952-10-15T00:00:00Z,Gujarat,Mahesana,2005-01-17T00:00:00Z,2014-06-26T00:00:00Z,No,Yes,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,"Sardar Patel Arts and Commerce College, Mahesana",Arts,"Vivekanand Law College, Mahesana",NA,1980,Gujarat,No,No,No,Gujarat
Mukesh Shah,Male,1958-05-16T00:00:00Z,NA,NA,2004-03-07T00:00:00Z,2023-05-15T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,Yes,2018-11-02T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,Gujarat University,1982,1982,Gujarat,No,No,No,Gujarat
Mustak Kadri,Male,1942-06-10T00:00:00Z,NA,NA,1995-09-18T00:00:00Z,2004-06-10T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,Gujarat University,Arts,Gujarat University,1968,NA,NA,No,No,No,Gujarat
N. V. Anjaria,Male,1965-03-23T00:00:00Z,Gujarat,Ahmedabad,2011-11-21T00:00:00Z,2027-03-22T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"H.L.College of Commerce, Ahmedabad",Commerce,"Sir L.A. Shah Law College, Ahmedabad",1988,1988,Gujarat,No,No,Yes,Gujarat
S. Nainar Sundaram,Male,1932-08-03T00:00:00Z,Tamil Nadu,Tirunelveli,1978-01-04T00:00:00Z,1993-12-13T00:00:00Z,No,No,Madras,Yes,Gujarat,1992-06-15T00:00:00Z,NA,NA,NA,NA,Yes,Gujarat,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,"P. S. High School, Mylapore","Loyela College, Madras",Commerce,"Law College, Madras",NA,1955,Tamil Nadu,No,No,No,Gujarat
Narendra Mathur,Male,1945-02-20T00:00:00Z,NA,NA,1994-01-31T00:00:00Z,2007-02-20T00:00:00Z,No,No,Rajasthan,Yes,Gujarat,1994-02-15T00:00:00Z,Rajasthan,1999-02-24T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1970,Rajasthan,No,No,No,Gujarat
Nikhil Kariel,Male,1974-05-09T00:00:00Z,Gujarat,Rajkot,2020-10-04T00:00:00Z,2036-05-08T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,"V.B. College of law, Udupi",NA,"V.B. College of law, Udupi",NA,1998,Gujarat,No,No,No,Gujarat
Nikhilchandra Nandi,Male,1942-03-21T00:00:00Z,Gujarat,Baroda,1994-10-12T00:00:00Z,2004-03-20T00:00:00Z,No,No,Gujarat,Yes,Delhi,1994-11-01T00:00:00Z,Gujarat,2001-06-04T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,"M. S. University, Baroda",1966,1967,Gujarat,No,No,No,Gujarat
Niranjan Janmashankar Pandya,Male,1938-08-06T00:00:00Z,NA,NA,1990-06-21T00:00:00Z,2000-06-06T00:00:00Z,No,No,Gujarat,Yes,Bombay,1997-10-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Gujarat,No,No,No,Gujarat
