Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Lingappa Narayana Swamy,Male,1959-07-01T00:00:00Z,Karnataka,"Bhadravathi, Shivamogga",2007-07-04T00:00:00Z,2021-06-30T00:00:00Z,No,No,Karnataka,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Himachal Pradesh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,"Pre Univeristy at BBS College, Shivamogga",not available,Arts,Mysore University,not available,1987,Karnataka,No,No,Yes,HimachalPradesh
Chander Bhusan Barowalia,Male,1961-03-15T00:00:00Z,Not Available,Not Available,2016-04-12T00:00:00Z,2023-03-14T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Yes,Not Available,Not Available,Not Available,"Govt. Degree College, Shimla",Science (Medical),Himachal Pradesh University,not available,1984,Himachal Pradesh,No,Yes,No,HimachalPradesh
Sureshwar Thakur,Male,1963-05-18T00:00:00Z,Himachal Pradesh,Shimla,2014-05-05T00:00:00Z,2025-05-17T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,"St. Edwards School, Shimla","Govt. Degree Colg., Shimla",Arts,Himachal Pradesh University,not available,1987,Himachal Pradesh,No,No,No,HimachalPradesh
Tarlok Singh Chauhan,Male,1964-01-09T00:00:00Z,Himachal Pradesh,Rohru,2014-03-23T00:00:00Z,2026-01-08T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Yes,Not Available,"Bishop Cotton School, Shimla","DAV College, Chandigarh",not available,"Pnajab University, Chandigarh",not available,1989,Himachal Pradesh,No,No,No,HimachalPradesh
Vivek Singh Thakur,Male,1966-04-16T00:00:00Z,Himachal Pradesh,Bilaspur,2016-04-12T00:00:00Z,2028-04-15T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"Govt. Degree Colg., Bilaspur",Science,Himachal Pradesh University,not available,1990,Himachal Pradesh,No,No,Yes,HimachalPradesh
Anoop Chitkara,Male,1966-04-29T00:00:00Z,Himachal Pradesh,Shimla,2019-05-30T00:00:00Z,2028-04-28T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,"DAV School, Lakkar Bazar","Rajiv Gandhi Govt Degree College, Shimla",Arts,Himachal Pradesh University,not available,1990,Himachal Pradesh,No,No,No,HimachalPradesh
Sandeep Sharma,Male,1968-07-20T00:00:00Z,Himachal Pradesh,Shimla,2016-04-12T00:00:00Z,2030-07-19T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Yes,Not Available,"DAV School, Sanjouli and Senior Secondary School, Lalpani, Shimla","Govt. Degree College, Shimla",Arts,Himachal Pradesh University,1993,1993,Himachal Pradesh,No,No,No,HimachalPradesh
Ajay Mohan Goel,Male,1969-01-10T00:00:00Z,Chandigarh,Chandigarh,2016-04-12T00:00:00Z,2031-01-09T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Yes,Not Available,"St. Edwards School, Shimla","Govt. College, Sanjauli",Arts (English),Himachal Pradesh University,1992,1992,Himachal Pradesh,No,No,No,HimachalPradesh
Jyotsna Rewal Dua,Female,1969-05-25T00:00:00Z,Himachal Pradesh,Nahan,2019-05-30T00:00:00Z,2031-05-24T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Govt. degree college, nalagarh",not available,Himachal Pradesh University,1991,1991,Himachal Pradesh,No,No,No,HimachalPradesh
Manmohan Sarin,Male,1946-10-20T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,2008-10-19T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Yes,Not Available,Not Available,not available,not available,not available,not available,not available,not available,not available,not available,not available,J&KandLadakh
Yash Nargotra,Male,1947-08-22T00:00:00Z,Jammu & Kashmir,Not Available,2003-01-07T00:00:00Z,2009-08-22T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1975,Jammu and Kashmir,not available,not available,No,J&KandLadakh
K.S. Radhakrishnan,Male,1949-05-15T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,2014-05-14T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Gujarat,Not Applicable,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Not Available,Not Available,He had his education at Cochin.,not available,Science,not available,not available,1973,not available,No,No,Yes,J&KandLadakh
Hakim Hussain,Male,1949-07-16T00:00:00Z,Jammu & Kashmir,Not Available,2004-09-30T00:00:00Z,2011-07-15T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Jammu and Kashmir University,not available,Aligarh Muslim University,1971,1971,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Nisar Ahmad Kakru,Male,1949-10-26T00:00:00Z,Jammu & Kashmir,Baramulla,1997-11-01T00:00:00Z,2007-10-26T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1982,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Vinod Gupta,Male,1950-01-18T00:00:00Z,Jammu & Kashmir,Not Available,2008-11-05T00:00:00Z,Not Available,Not Available,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Jammu and Kashmir University,not available,Delhi University,1972,1972,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Permod Kohli,Male,1951-03-01T00:00:00Z,Jammu & Kashmir,Rajouri,2003-01-07T00:00:00Z,2013-02-28T00:00:00Z,No,No,J & K and Ladakh,Yes,Jharkhand,2006-03-28T00:00:00Z,PunjabandHaryana,2007-10-05T00:00:00Z,Not Applicable,Not Applicable,Yes,Sikkim,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,Not Available,Not Available,Not Available,Not Available,G.G.M. Science College,not available,University of jammu,1972,1972,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Jai Pal Singh,Male,1951-04-06T00:00:00Z,Jammu & Kashmir,Kehli Mandi,2005-10-04T00:00:00Z,2013-04-06T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,1971,1971,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Fakkir Mohamed Ibrahim Kalifulla,Male,1951-07-23T00:00:00Z,Not Available,Not Available,2000-03-20T00:00:00Z,2016-07-22T00:00:00Z,No,No,Madras,Yes,J&KandLadakh,2011-02-24T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,Yes,2012-04-02T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,not available,Arts,not available,not available,1975,not available,No,Yes,Yes,J&KandLadakh
Mahesh Kumar,Male,1953-01-05T00:00:00Z,Punjab,Not Available,2001-07-02T00:00:00Z,2015-01-04T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,"Punjabi University, Patiala",1977,1977,Punjab and Haryana High Court ( 1991-1992),Yes,No,Yes,J&KandLadakh
Hasnain Massodi,Male,1954-01-02T00:00:00Z,Jammu & Kashmir,"Khrew, Pulwama",2009-11-13T00:00:00Z,2016-01-01T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,"Harvard Law School, Harvard University",not available,not available,not available,Yes,not available,Yes,J&KandLadakh
Bansi Lal Bhat,Male,1954-04-19T00:00:00Z,Jammu & Kashmir,"Arihal, Pulwama District",2013-03-08T00:00:00Z,2016-04-18T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,"Government High School, Hawal","Amar Singh College, Srinagar",Arts,University of Kashmir,1974,1975,not available,not available,not available,No,J&KandLadakh
Muzaffar Hussain Attar,Male,1955-01-30T00:00:00Z,Not Available,Not Available,2008-11-05T00:00:00Z,2017-01-29T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Anantnag College,not available,not available,1977,1985,not available,not available,not available,No,J&KandLadakh
Narayanan Nadar Paul Vasanthakumar,Male,1955-03-15T00:00:00Z,Not Available,Not Available,2005-12-10T00:00:00Z,2017-03-14T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,not available,Science,not available,not available,1980,not available,No,Yes,Yes,J&KandLadakh
Mansoor Ahmad Mir,Male,1955-04-25T00:00:00Z,Jammu & Kashmir,Village Rajpora,Not Available,Not Available,Not Available,Not Available,J & K and Ladakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Amar Singh College ,Arts,not available,1978,not available,not available,not available,not available,not available,J&KandLadakh
Janak Kotwal,Male,1956-08-29T00:00:00Z,Jammu & Kashmir,Bhaderwah,2013-03-08T00:00:00Z,2018-08-28T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,not available,not available,not available,J&KandLadakh
Ramalingam Sudhakar,Male,1959-02-14T00:00:00Z,Tamil Nadu,Panapakkam Village,2005-12-10T00:00:00Z,2022-02-12T00:00:00Z,No,No,Madras,Yes,J&KandLadakh,2016-04-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,St. Mary’s Higher Secondary School,Loyola College,not available,Madras Law College,not available,1983,Tamil nadu and Puducherry,not available,not available,No,J&KandLadakh
A. K. Goel,Male,1959-06-16T00:00:00Z,Haryana,Hissar,Not Available,Not Available,Not Available,Not Available,J & K and Ladakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Punjab University,Arts,Punjab University,not available,not available,not available,not available,not available,not available,J&KandLadakh
Ali Magrey,Male,1960-12-08T00:00:00Z,Jammu & Kashmir,Village Wattoo,2013-03-08T00:00:00Z,2022-12-07T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Not Available,Not Available,Not Available,University of Kashmir,not available,University of Kashmir,not available,1984,not available,not available,not available,No,J&KandLadakh
Rajesh Bindal,Male,1961-04-16T00:00:00Z,Haryana,Ambala City,2006-03-22T00:00:00Z,2023-04-15T00:00:00Z,No,No,Punjab and Haryana,Yes,J&KandLadakh,2018-11-15T00:00:00Z,Calcutta,2021-01-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,Kurukshetra University,1985,1985,not available,not available,not available,No,J&KandLadakh
Bawa Singh Walia,Male,1961-08-28T00:00:00Z,Punjab,Jalandhar,2014-09-25T00:00:00Z,2023-08-27T00:00:00Z,No,No,Punjab and Haryana,Yes,J&KandLadakh,2015-02-12T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,St. John's High School,"A.V. College, Chandigarh",Arts,Panjab University,1985,1985,not available,not available,not available,No,J&KandLadakh
Sanjay Kumar Gupta,Male,1961-11-24T00:00:00Z,Not Available,Not Available,2017-06-06T00:00:00Z,2020-07-27T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Yes,"Oriental Academy, Jammu","G.G.M Science College, Jammu",Science,University of Jammu,1986,1986,Delhi,No,not available,No,J&KandLadakh
Punit Kumar Gupta,Male,1963-04-10T00:00:00Z,Not Available,Not Available,2020-04-07T00:00:00Z,2025-04-09T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,not available,not available,No,J&KandLadakh
Tashi Rabstan,Male,1963-04-10T00:00:00Z,Leh Ladakh,Village SKURBUCHAN,2013-03-08T00:00:00Z,2025-04-09T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,University of Jammu,not available,University of Jammu,not available,1990,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Vinod Koul,Male,1964-01-21T00:00:00Z,Jammu & Kashmir,Village Wanpoo,2020-04-07T00:00:00Z,2026-01-20T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,"Govt. Hr. Secondary School, Anantnag","Govt. Degree College, Anantnag",Science,Kashmir University,1989,1990,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Javed Iqbal Wani,Male,1964-03-24T00:00:00Z,Jammu & Kashmir,Srinagar,2020-06-12T00:00:00Z,2026-03-23T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Khalsa High School,"Sri Pratap Singh
College, Srinagar",Science,Kashmir University,1990,1990,not available,not available,not available,No,J&KandLadakh
Dhiraj Singh Thakur,Male,1964-04-25T00:00:00Z,Not Available,Not Available,2013-03-08T00:00:00Z,2026-04-24T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1989,Delhi,not available,not available,No,J&KandLadakh
Sanjay Dhar,Male,1965-05-11T00:00:00Z,Jammu & Kashmir,Village Danow (Bogund),2020-04-07T00:00:00Z,2027-05-10T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,S.P.College Srinagar,Science,University of Kashmir,not available,1990,not available,not available,not available,No,J&KandLadakh
Sanjeev Kumar,Male,1966-04-08T00:00:00Z,Jammu & Kashmir,Village Prehta Nagrota,2017-06-06T00:00:00Z,2028-04-07T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Govt. H.S.S. Basohli,Govt. Degree College Kathua,Science,University of Jammu,1988,1989,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Sindhu Sharma,Female,1972-10-10T00:00:00Z,Not Available,Not Available,2018-08-07T00:00:00Z,2034-10-09T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,Punjab University,not available,1997,not available,not available,not available,No,J&KandLadakh
Rajnesh Oswal,Male,1973-06-17T00:00:00Z,Not Available,Not Available,2020-04-02T00:00:00Z,2035-06-16T00:00:00Z,No,No,J & K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,not available,not available,not available,not available,not available,J&KandLadakh
Rashid Dar,Male,Not Available,Not Available,Not Available,2018-08-07T00:00:00Z,Not Available,Not Available,Not Available,J & K and Ladakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,not available,not available,not available,not available,not available,J&KandLadakh
Sunil Hali,Male,Not Available,Jammu & Kashmir,Not Available,2008-03-15T00:00:00Z,2013-02-22T00:00:00Z,No,No,J & K and Ladakh,Yes,Allahabad,2011-04-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,not available,Jammu and Kashmir,not available,not available,No,J&KandLadakh
Ashok Kumar Prasad,Male,1939-04-10T00:00:00Z,Not Available,Not Available,1997-10-16T00:00:00Z,2001-04-10T00:00:00Z,No,No,Patna,Yes,Jharkhand,2000-11-15T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1962,Bihar,not available,Yes,No,Jharkhand
Lakshman Uraon,Male,1942-08-12T00:00:00Z,Jharkhand,"Village Latha Toli, District of Gumla",2002-01-28T00:00:00Z,2004-08-11T00:00:00Z,No,No,Jharkhand,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Upper Primary School Saso and Lutharan High School, Gumla","St.Xavier's College, Ranchi",not available,"Chotanagpur Law College, Ranchi",1965,Not Applicable,Not Applicable,No,No,No,Jharkhand
Vikramaditya Prasad,Male,1942-10-06T00:00:00Z,Not Available,Not Available,2002-01-28T00:00:00Z,Not Available,No,Not Available,Jharkhand,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Rajendra Shree Krishna Vidyalaya, Haveli Kharagpur, Munger","St.Columba's College, Hazaribagh",Science,Patna University,not available,Not Applicable,Not Applicable,No,No,No,Jharkhand
Hari Shankar Prasad,Male,1943-07-01T00:00:00Z,Not Available,Not Available,2002-01-01T00:00:00Z,Not Available,Not Available,Not Available,Jharkhand,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,Arts,not available,not available,Not Applicable,Not Applicable,No,No,No,Jharkhand
M. Karpaga Vinayagam,Male,1946-05-16T00:00:00Z,Tamil Nadu,Devakottai,1996-01-08T00:00:00Z,2008-05-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Jharkhand,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"Alagappa College, Karaikudi",B.A. Economics,Madras Law College,1972,1972,Tamil nadu,No,No,No,Jharkhand
Dhananjay Prasad Singh,Male,1946-09-06T00:00:00Z,Not Available,Not Available,2006-02-27T00:00:00Z,2008-09-05T00:00:00Z,No,No,Jharkhand,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,not available,Science,not available,not available,not available,not available,not available,Yes,No,Jharkhand
Dabbiru Ganeshrao Patnaik,Male,1948-09-29T00:00:00Z,Not Available,Not Available,2006-02-27T00:00:00Z,2010-09-29T00:00:00Z,No,No,Jharkhand,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Jamshedpur,not available,not available,Patna Law College,not available,1973,Bihar,No,Yes,No,Jharkhand
Amareshwar Sahay,Male,1948-10-10T00:00:00Z,Not Available,Not Available,2002-11-18T00:00:00Z,2010-10-10T00:00:00Z,No,No,Jharkhand,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,Not Available,"Zila School, Ranchi",Ranchi College,Science,"Chhotanagpur Law College, Ranchi",not available,1970,Bihar,No,No,No,Jharkhand
Gyan Mishra,Female,1949-04-28T00:00:00Z,Not Available,Not Available,1994-03-16T00:00:00Z,2014-04-27T00:00:00Z,No,No,Patna,Yes,Rajasthan,1994-04-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Jharkhand,Not Applicable,Not Applicable,Yes,2010-04-30T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Patna University,Political Science,Patna University,not available,1972,Bihar,No,Yes,No,Jharkhand
